order_id,tracking_number,carrier,tracking_status,last_tracking_update,estimated_delivery_date
A1001,RM418820561GB,Royal Mail,Delivered,2026-03-15 13:00:00,2026-03-16
A1002,DPD9930114772,DPD,In Transit,2026-03-16 03:00:00,2026-03-17
A1006,EV7714203399,Evri,Collected,2026-03-15 03:00:00,2026-03-17
A1007,DPD9930118841,DPD,In Transit,2026-03-13 20:00:00,2026-03-16
A1008,RM418822190GB,Royal Mail,Delivered,2026-03-15 09:00:00,2026-03-15
E2001,RM418819004GB,Royal Mail,Delivered,2026-03-13 01:00:00,2026-03-13
E2002,DPD9930120115,DPD,In Transit,2026-03-16 05:00:00,2026-03-17
E2004,EV7714209920,Evri,Collected,2026-03-15 13:00:00,2026-03-17
E2005,DPD9930121007,DPD,In Transit,2026-03-15 23:00:00,2026-03-16
E2007,RM418823771GB,Royal Mail,Delivered,2026-03-15 21:00:00,2026-03-16
E2010,,Evri,,,
E2011,DPD9930122483,DPD,Out for Delivery,2026-03-15 03:00:00,2026-03-15
E2012,EV7714215566,Evri,Delivery Failed,2026-03-15 13:00:00,2026-03-15
S3001,RM418820998GB,Royal Mail,Delivered,2026-03-14 17:00:00,2026-03-14
S3003,DPD9930123901,DPD,Out for Delivery,2026-03-16 04:00:00,2026-03-16
S3006,DPD9930124338,DPD,In Transit,2026-03-16 01:00:00,2026-03-16
S3007,EV7714218870,Evri,In Transit,2026-03-15 21:00:00,2026-03-16
S3009,DPD9930125104,DPD,Label Created,,2026-03-16
S3010,EV7714221145,Evri,In Transit,2026-03-12 05:00:00,2026-03-13
W9001,DPD9930126077,DPD,In Transit,2026-03-16 04:00:00,2026-03-17
