order_id,warehouse_status,picked_at,packed_at,dispatched_at,warehouse_location
A1001,Dispatched,2026-03-11 15:00:00,2026-03-11 19:00:00,2026-03-11 23:00:00,LDN-1
A1002,Dispatched,2026-03-12 15:00:00,2026-03-12 19:00:00,2026-03-12 23:00:00,LDN-1
A1003,Received,,,,MAN-2
A1004,Picking,,,,MAN-2
A1005,Packed,2026-03-15 23:00:00,2026-03-16 03:00:00,,LDN-1
A1006,Dispatched,2026-03-14 17:00:00,2026-03-14 19:00:00,2026-03-14 21:00:00,BHM-3
A1007,Dispatched,2026-03-12 21:00:00,2026-03-13 01:00:00,2026-03-13 05:00:00,LDN-1
A1008,Dispatched,2026-03-13 15:00:00,2026-03-13 19:00:00,2026-03-13 23:00:00,MAN-2
A1009,Picking,,,,LDN-1
A1010,Cancelled,,,,MAN-2
A1012,Dispatched,2026-03-14 01:00:00,2026-03-14 03:00:00,2026-03-14 05:00:00,BHM-3
A1013,Received,,,,LDN-1
A1014,Packed,2026-03-15 03:00:00,2026-03-15 07:00:00,,MAN-2
A1015,Received,,,,LDN-1
E2001,Dispatched,2026-03-10 19:00:00,2026-03-10 23:00:00,2026-03-11 03:00:00,LDN-1
E2002,Dispatched,2026-03-14 03:00:00,2026-03-14 07:00:00,2026-03-14 11:00:00,MAN-2
E2003,Picking,,,,BHM-3
E2004,Dispatched,2026-03-15 03:00:00,2026-03-15 05:00:00,2026-03-15 07:00:00,LDN-1
E2005,Dispatched,2026-03-13 07:00:00,2026-03-13 11:00:00,2026-03-13 15:00:00,MAN-2
E2006,Packed,2026-03-15 21:00:00,2026-03-16 01:00:00,,LDN-1
E2007,Dispatched,2026-03-12 11:00:00,2026-03-12 15:00:00,2026-03-12 19:00:00,BHM-3
E2008,Received,,,,MAN-2
E2009,Packed,2026-03-13 11:00:00,2026-03-13 15:00:00,,LDN-1
E2010,Dispatched,2026-03-14 07:00:00,2026-03-14 09:00:00,2026-03-14 11:00:00,MAN-2
E2011,Dispatched,2026-03-12 15:00:00,2026-03-12 17:00:00,2026-03-12 19:00:00,LDN-1
E2012,Dispatched,2026-03-12 01:00:00,2026-03-12 05:00:00,2026-03-12 09:00:00,BHM-3
S3001,Dispatched,2026-03-12 01:00:00,2026-03-12 05:00:00,2026-03-12 09:00:00,LDN-1
S3002,Picking,,,,MAN-2
S3003,Dispatched,2026-03-13 21:00:00,2026-03-14 01:00:00,2026-03-14 05:00:00,LDN-1
S3004,Picking,,,,BHM-3
S3005,Cancelled,,,,LDN-1
S3006,Dispatched,2026-03-14 03:00:00,2026-03-14 07:00:00,2026-03-14 11:00:00,MAN-2
S3007,Dispatched,2026-03-14 15:00:00,2026-03-14 17:00:00,2026-03-14 19:00:00,LDN-1
S3008,Picking,,,,MAN-2
S3009,Dispatched,2026-03-14 11:00:00,2026-03-14 13:00:00,2026-03-14 15:00:00,BHM-3
S3010,Dispatched,2026-03-10 09:00:00,2026-03-10 11:00:00,2026-03-10 13:00:00,LDN-1
S3012,Received,,,,MAN-2
S3013,Packed,2026-03-15 17:00:00,2026-03-15 23:00:00,,LDN-1
W9001,Dispatched,2026-03-15 03:00:00,2026-03-15 07:00:00,2026-03-15 11:00:00,BHM-3
